"SEP=,"
"Hero ","Total ","Seasons ","Average ","Last Season ","Recolors ","total Battle Pass","seasons Battle Pass","average Battle Pass","last season Battle Pass","recolors Battle Pass","total Mythic Shop","seasons Mythic Shop","average Mythic Shop","last season Mythic Shop","recolors Mythic Shop","total Shop","seasons Shop","average Shop","last season Shop","recolors Shop","total Collaboration","seasons Collaboration","average Collaboration","last season Collaboration","recolors Collaboration","total Challenge","seasons Challenge","average Challenge","last season Challenge","recolors Challenge","total Bundle Special","seasons Bundle Special","average Bundle Special","last season Bundle Special","recolors Bundle Special","total Blizzard Special","seasons Blizzard Special","average Blizzard Special","last season Blizzard Special","recolors Blizzard Special","total Competitive","seasons Competitive","average Competitive","last season Competitive","recolors Competitive","total Overwatch League","seasons Overwatch League","average Overwatch League","last season Overwatch League","recolors Overwatch League","total Overwatch Esports","seasons Overwatch Esports","average Overwatch Esports","last season Overwatch Esports","recolors Overwatch Esports"
Emre,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
Freja,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Genji,5,5/24,0.21,22,0,1,1/24,0.04,10,0,0,0/24,0,0,0,2,2/24,0.08,12,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,16,0,0,0/24,0,0,0,0,0/24,0,0,0
Hanzo,3,3/24,0.13,22,0,1,1/24,0.04,4,0,0,0/24,0,0,0,1,1/24,0.04,2,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Hazard,2,2/11,0.18,23,0,1,1/11,0.09,23,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,1,1/11,0.09,15,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0,0,0/11,0,0,0
Illari,5,5/19,0.26,20,0,2,2/19,0.11,20,0,0,0/19,0,0,0,2,2/19,0.11,7,0,0,0/19,0,0,0,0,0/19,0,0,0,1,1/19,0.05,17,0,0,0/19,0,0,0,0,0/19,0,0,0,0,0/19,0,0,0,0,0/19,0,0,0
"Jetpack Cat",2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,2,2/4,0.5,22,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0,0,0/4,0,0,0
"Junker Queen",3,3/24,0.13,14,0,2,2/24,0.08,14,0,0,0/24,0,0,0,1,1/24,0.04,6,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0
Junkrat,5,5/24,0.21,22,0,1,1/24,0.04,8,0,0,0/24,0,0,0,2,2/24,0.08,6,0,0,0/24,0,0,0,1,1/24,0.04,22,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,0,0/24,0,0,0,1,1/24,0.04,13,0
Juno,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0,0,0/13,0,0,0
